,arrival_event_time,service_event_time
0,0.0,7.1446931775331395
1,0.13145921808295716,36.90160547891227
2,0.4654479157410545,1.9672415048816516
3,1.3359518513150404,10.473794243206694
4,1.4413237355137825,17.134521062471688
5,1.7662252370453602,8.745483545098335
6,1.9631751736587417,3.7981203838616544
7,2.0243515190541554,11.271753914139326
8,2.824185394680155,5.418864061116217
9,2.934757984690873,7.286882627308236
10,4.667634571783095,21.81795578560151
11,5.023606227821507,5.4303341848852815
12,5.498914681212511,29.379863141297072
13,5.821560505892733,10.156527840564255
14,7.467452625423112,13.14697825245291
15,7.504322898700913,18.985756522337578
16,9.404810384249998,16.702761221796926
17,10.162603623956313,23.014830917903495
18,10.873083508591234,24.54425104769723
19,11.507023467829834,13.70591430342086
20,13.362850285745866,33.960546150968
21,14.94606744421253,22.467918619740686
22,17.017315323483736,35.20035488739224
23,19.49574648693903,34.750096499126094
24,19.564594289649694,25.635999717109982
25,23.249040652866405,41.76423818316692
26,23.803348833052638,24.097972136726614
27,23.878772859239326,38.382177977212315
28,24.91004951906723,34.856866612046595
29,24.927046779318747,35.71669048441298
30,25.99122967765025,31.3797496139687
31,29.521534597398915,45.9741541603354
32,31.594781463908255,45.14189900713069
33,34.08917383210715,35.39928302776664
34,35.13866569696229,40.016796451997564
35,36.07237801730016,40.418193370180006
36,36.1928901970349,47.88149198863881
37,36.99337261334185,40.718209588108714
38,37.81777481893182,39.63393927507685
39,37.92685850234853,52.46042303143705
40,38.51983665049971,46.48619634817393
41,39.758724621016846,43.39923038076518
42,40.18112153882249,46.90351995667798
43,40.98241021076216,97.97504036229535
44,40.9834428253754,46.84038537792929
45,43.796888779132516,46.53307607071775
46,43.932133715866236,70.99795163263303
47,45.51367469268971,62.73249520641056
48,46.37779058525384,47.626861071425
49,46.811799378537444,87.24198078276063
50,47.60679140084366,67.3490439202864
51,47.96865033601421,62.91762895971766
52,49.70611800762949,76.69978909859773
53,50.15392511775269,52.77454981336692
54,50.2202842960205,55.20387146619572
55,52.701603208494184,57.85705994606088
56,52.97007218618393,58.78992539707047
57,57.24005671990577,58.481098572816386
58,59.178995656564446,59.38687465477414
59,59.33527014699453,62.34786801585419
60,59.60342103629645,61.01648521832101
61,59.62649019473001,64.949980551953
62,61.256052854961524,73.56557129917597
63,62.404111696510824,69.30247967322326
64,63.519263869576754,63.6197561681271
65,64.60725380998451,95.10846790147336
66,66.13607149917675,67.36252961603104
67,66.86201789064188,70.84590031562968
68,67.87057099634812,76.79855254869395
69,68.35054622223484,96.66800737853575
70,70.2025670602953,75.0566581809376
71,71.28478439673269,82.07835195517143
72,71.31672340735854,90.95589042939898
73,73.58736281899847,86.64810075688403
74,75.08968935951172,76.90645567258237
75,76.78191588887911,77.19140681425367
76,76.8817039539182,121.23236699229467
77,76.9427887247343,105.50967000793557
78,77.27050378538719,84.46001061779204
79,82.56372887911262,83.65574985882131
80,84.50501157615267,89.83839610365183
81,84.96317681178559,92.64176229860584
82,86.93670647120757,107.45766471982152
83,88.04834439008664,90.46320968991073
84,90.0961612337318,94.865049222383
85,90.93305425095937,92.69030379524199
86,91.54898320528213,111.0029187904935
87,93.92207729674053,116.36498469625539
88,94.18104581484783,98.59538650284927
89,95.12232538678694,110.05964432520052
90,95.22948312498698,108.0481547074361
91,96.94627890084111,98.94542180128795
92,98.30164238303338,130.459157797763
93,98.67801863424928,103.1107160556928
94,99.55142440535056,111.57449652643679
95,103.3402541800592,124.20559835525417
96,105.73926286913391,107.353946605845
97,107.42559094869816,114.6875378505915
98,107.45975400774695,115.30320257383482
99,108.05388541584277,110.90406764176034
100,110.12774620435482,120.37852750128268
